               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  88,            0.028557,            0.024624,           0.0034194,              0.5322,             0.49536,             0.63234,             0.41636,            0.032707,            0.016755,           0.0046229,            0.001387,            0.001387,            0.001387
                  89,            0.028398,            0.024784,           0.0026522,             0.50158,             0.83105,             0.66515,             0.43545,            0.032696,            0.016679,           0.0043783,            0.001288,            0.001288,            0.001288
                  90,            0.027746,            0.024023,           0.0031909,             0.51953,             0.51879,              0.6319,             0.42384,            0.032927,            0.016768,           0.0041829,            0.001189,            0.001189,            0.001189
                  91,            0.028844,            0.024389,           0.0030094,             0.51307,             0.50496,               0.634,             0.42086,            0.032723,            0.016882,           0.0040728,             0.00109,             0.00109,             0.00109
                  92,            0.028552,            0.026298,            0.003122,             0.52055,              0.5195,             0.61963,             0.40944,            0.032491,            0.016813,           0.0040279,            0.000991,            0.000991,            0.000991
                  93,            0.029173,            0.026055,           0.0031397,             0.51418,             0.51701,             0.61907,             0.41003,            0.032236,            0.016619,            0.003976,            0.000892,            0.000892,            0.000892
                  94,            0.029189,            0.024925,           0.0035232,             0.52902,             0.50557,             0.60842,             0.41434,            0.032267,            0.016417,           0.0041101,            0.000793,            0.000793,            0.000793
                  95,            0.028601,            0.027533,           0.0035444,             0.53284,             0.50426,             0.62006,             0.42551,            0.032302,            0.016297,           0.0041596,            0.000694,            0.000694,            0.000694
                  96,            0.029237,            0.026387,           0.0028367,             0.52416,             0.50557,             0.62121,             0.42116,            0.032117,            0.016291,           0.0041968,            0.000595,            0.000595,            0.000595
                  97,            0.028717,            0.024608,           0.0027848,             0.53065,              0.5146,              0.6378,             0.42953,            0.032021,            0.016307,            0.004359,            0.000496,            0.000496,            0.000496
                  98,            0.029186,            0.025788,           0.0028828,             0.51559,             0.84148,             0.66484,             0.44624,            0.032138,            0.016374,           0.0043935,            0.000397,            0.000397,            0.000397
                  99,            0.028858,            0.025021,           0.0037698,             0.51079,             0.82946,             0.66498,             0.44475,            0.032086,            0.016387,           0.0045924,            0.000298,            0.000298,            0.000298
